sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,object_x,object_y,object_z,object_Rx,object_Ry,object_Rz
image_1.png,edge,0.4488318299689684,0.0,4.122116705145822,-14.670887039118618,-12.806802479737035,-143.2638681307099,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_2.png,edge,1.4589411306665614,0.0,3.5596840853100953,-3.6049713399295715,3.3376487333972054,-121.92857356140135,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_3.png,edge,-0.7634520066109527,0.0,1.4730977034757329,-20.199201809419836,-7.373635116628324,-104.80436780585951,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_4.png,edge,-1.1655848117422227,0.0,2.6586477599620943,-4.844517207715678,-7.058352298921613,-92.00678687942302,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_5.png,edge,3.917730007820797,0.0,4.778675668198336,-4.918837024951247,-7.071477992333788,-88.81502308567843,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_6.png,edge,2.151893663724195,0.0,4.196634256866894,-10.797677559929564,-13.263836044642478,-22.10345515356468,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_7.png,edge,4.636627605010293,0.0,3.0873932870002867,11.48514049850303,-7.197667742447749,-12.128121771729724,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_8.png,edge,0.48813503927324753,0.0,4.914473368931056,-20.569932185176043,-13.979810814251344,25.270837350436665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_9.png,edge,-0.6241278873730751,0.0,1.5734131496361856,11.905508930407986,-5.786537837922591,55.11899716754343,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
image_10.png,edge,1.027633760716439,0.0,2.8459174490117274,20.34068631997086,14.325973505197702,175.8145817013214,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
